constituency,sir_adjusted_winner,sir_adjusted_margin_pct
Raipur,TMC,2.083567619481286
Taldangra,BJP,2.3379231220113823
Bolpur,TMC,1.502513735596473
Labpur,TMC,0.20285466888979187
Mayureswar,BJP,2.340506367220172
Sainthia,BJP,1.4913579203893548
Mekliganj,BJP,0.804074794684368
Kushmandi,BJP,1.4842334560397106
Chunchura,BJP,1.1112117846254392
Haripal,TMC,2.4907486231359854
Jangipara,TMC,0.37962982225993613
Udaynarayanpur,BJP,1.16259174308383
Uluberia Purba,TMC,0.7587938198482078
Rajganj,BJP,0.9383794590257324
Karimpur,TMC,2.6886268634942496
Nabadwip,TMC,0.6957579493958264
Nakashipara,TMC,2.1424452139117207
Barasat,TMC,2.7999403011663304
Barrackpur,BJP,2.0529730622196
Basirhat Dakshin,TMC,2.3081298064426576
Bijpur,TMC,1.8263487114756884
Jagatdal,TMC,2.4449312391983327
Keshiary,BJP,0.9857309849465068
Keshpur,TMC,0.8979038120038538
Medinipur,TMC,2.2662986174220023
Bardhaman Uttar,BJP,1.2706115812059195
Galsi,TMC,0.5301100082786334
Jamalpur,TMC,0.5568081086933105
Ketugram,BJP,2.7862382983626404
Khandaghosh,TMC,1.8418192672162874
Mangalkot,TMC,2.205500494320731
Memari,TMC,2.734361468410171
Purbasthali Dakshin,BJP,0.11389497951151384
Raina,BJP,0.2893862988738647
Chandipur,BJP,2.3126706446206384
Egra,BJP,0.4496296754035569
Ramnagar,BJP,2.732620690567032
Bandwan,BJP,0.17078782121755154
Manbazar,BJP,0.940041861543861
Diamond Harbour,BJP,0.6460415496662861
Patharpratima,TMC,1.43683607039911
Satgachhia,TMC,2.100606829177707
